vector
size,time_ns
10000,5.31
20000,5.29
30000,5.41
40000,5.47
50000,5.31
60000,5.28
70000,5.27
80000,5.87
90000,5.42
100000,5.26
110000,5.29
120000,5.25
130000,5.63
140000,5.31
150000,5.29
160000,5.30
170000,5.32
180000,5.37
190000,5.43
200000,5.29
210000,5.86
220000,5.29
230000,5.20
240000,5.40
250000,5.30
260000,5.37
270000,5.34
280000,5.34
290000,5.25
300000,5.39
310000,6.17
320000,5.11
330000,5.05
340000,5.11
350000,5.04
360000,5.28
370000,5.10
380000,5.23
390000,5.12
400000,5.26
410000,5.07
420000,5.51
430000,5.22
440000,5.12
450000,5.13
460000,5.06
470000,5.12
480000,5.11
490000,5.06
500000,6.69

forward_list
size,time_ns
10000,9.01
20000,8.68
30000,8.90
40000,9.05
50000,8.66
60000,8.95
70000,9.19
80000,9.49
90000,9.33
100000,9.27
110000,8.85
120000,9.02
130000,9.07
140000,9.18
150000,9.83
160000,9.12
170000,9.37
180000,9.56
190000,9.21
200000,9.20
210000,9.33
220000,9.36
230000,9.60
240000,9.48
250000,9.39
260000,9.58
270000,9.66
280000,9.38
290000,9.50
300000,9.73
310000,9.42
320000,9.45
330000,9.56
340000,9.45
350000,9.36
360000,9.62
370000,9.69
380000,9.30
390000,9.49
400000,9.67
410000,9.71
420000,9.29
430000,9.42
440000,9.40
450000,9.61
460000,9.75
470000,9.33
480000,9.59
490000,9.51
500000,9.66

list
size,time_ns
10000,9.53
20000,9.16
30000,12.14
40000,12.87
50000,10.82
60000,9.35
70000,9.31
80000,9.36
90000,9.44
100000,9.38
110000,9.47
120000,9.32
130000,9.35
140000,9.36
150000,9.57
160000,9.49
170000,9.36
180000,9.63
190000,9.24
200000,9.60
210000,9.42
220000,9.40
230000,9.55
240000,9.67
250000,9.37
260000,9.65
270000,9.55
280000,9.55
290000,9.64
300000,9.35
310000,9.64
320000,9.79
330000,9.47
340000,9.48
350000,9.51
360000,9.56
370000,9.61
380000,9.54
390000,9.45
400000,9.54
410000,9.41
420000,9.54
430000,9.94
440000,9.62
450000,9.46
460000,9.49
470000,9.55
480000,9.53
490000,9.51
500000,9.50

map
size,time_ns
10000,16.08
20000,19.00
30000,18.34
40000,21.82
50000,22.10
60000,23.18
70000,24.49
80000,24.62
90000,27.07
100000,27.62
110000,30.29
120000,31.77
130000,34.73
140000,38.42
150000,40.04
160000,44.72
170000,46.45
180000,48.59
190000,52.73
200000,55.40
210000,58.25
220000,60.62
230000,65.16
240000,64.04
250000,67.10
260000,68.12
270000,70.92
280000,70.63
290000,73.35
300000,74.56
310000,74.80
320000,76.89
330000,78.19
340000,79.00
350000,78.04
360000,80.92
370000,82.28
380000,81.93
390000,82.93
400000,82.98
410000,84.93
420000,92.87
430000,87.42
440000,87.88
450000,86.53
460000,86.81
470000,88.19
480000,90.45
490000,88.70
500000,89.26

set
size,time_ns
10000,25.73
20000,27.29
30000,29.90
40000,33.73
50000,41.76
60000,44.03
70000,47.65
80000,54.14
90000,59.06
100000,64.00
110000,68.90
120000,76.73
130000,76.96
140000,77.58
150000,77.59
160000,78.94
170000,80.51
180000,81.08
190000,88.35
200000,83.74
210000,92.66
220000,82.79
230000,88.78
240000,83.12
250000,85.44
260000,83.47
270000,87.44
280000,93.34
290000,87.69
300000,88.80
310000,88.89
320000,87.61
330000,88.40
340000,87.45
350000,93.25
360000,90.53
370000,93.26
380000,87.16
390000,96.03
400000,88.63
410000,86.78
420000,89.18
430000,91.24
440000,94.79
450000,91.58
460000,90.69
470000,90.10
480000,90.72
490000,90.98
500000,86.08

